id,brand,model,tip
331,پژو, 405, GLi - دوگانه سوز LPG
332,پژو, 405, GLi بنزینی
333,پژو, 405, GLX - دوگانه سوز CNG
334,پژو, 405, GLX - دوگانه سوز LPG
335,پژو, 405, GLX بنزینی
336,پژو, 405, SLX بنزینی
337,پژو, 405, SLX دوگانه سوز
338,پژو, 406,
339,پژو, 407,
340,پژو, 504,
341,پژو, 508, GT
342,پژو, پارس, اتوماتیک TU5
343,پژو, پارس, دوگانه سوز
344,پژو, پارس, ساده
345,پژو, پارس, سال
346,پژو, پارس, موتور جدید XU7P
347,پژو, پارس, موتور جدید XU7P (سفارشی)
348,پژو, پارس, ELX
349,پژو, پارس, ELX (سفارشی) TU5
350,پژو, پارس, ELX XUM
351,پژو, پارس, LX TU5
352,پژو, پارس لیموزین,
353,پژو, روآ, بنزینی
354,پژو, روآ, دوگانه سوز
355,پژو, روآ سال, بنزینی
356,پژو, روآ سال, دوگانه سوز
357,پژو, RD, بنزینی
358,پژو, RD, دوگانه سوز CNG
359,پژو, RD, دوگانه سوز LPG
360,پژو, RDI, بنزینی
361,پورشه, 911, کررا 4
362,پورشه, 911, کررا s
363,پورشه, باکستر, 718
364,پورشه, باکستر, 718 S
365,پورشه, باکستر, V6
366,پورشه, باکستر, V6 S
367,پورشه, پانامرا, 4S
368,پورشه, پانامرا, 4S توربو
369,پورشه, پانامرا, V6
370,پورشه, کاین, GTS
371,پورشه, کاین, S
372,پورشه, کاین, S توربو
373,پورشه, کاین, V6
374,پورشه, کیمن, S
375,پورشه, ماکان,
376,پونتیاک, پاریزین,
377,پونتیاک, گرند پریکس,
378,پیکان, بنزینی,
379,پیکان, دوگانه سوز CNG,
380,پیکان, دوگانه سوز LPG,
381,پیکان, وانت, بنزینی
382,پیکان, وانت, CNG
383,پیکان, وانت, LPG
384,تارا, اتوماتیک,
385,تارا, دنده‌ای,
386,تویوتا, آریون, اسپرت
387,تویوتا, آریون, گرند
388,تویوتا, اف جی کروزر,
389,تویوتا, اکو,
390,تویوتا, پرادو ۲ در, ۴ سلیندر
391,تویوتا, پرادو ۲ در, ۶ سلیندر
392,تویوتا, پرادو ۴ در, ۴ سلیندر
393,تویوتا, پرادو ۴ در, ۶ سلیندر
394,تویوتا, پرادو ۴ در, ۶ سلیندر آفرود
395,تویوتا, پرادو ۴ در, ۶ سلیندر آنرود
396,تویوتا, پریوس, 2
397,تویوتا, پریوس, 3
398,تویوتا, پریوس, A
399,تویوتا, پریوس, B
400,تویوتا, پریوس, C
401,تویوتا, راوفور,
402,تویوتا, سلیکا,
403,تویوتا, سوپرا,
404,تویوتا, سولارا,
405,تویوتا, فررانر,
406,تویوتا, فورچونر,
407,تویوتا, کارینا,
408,تویوتا, کراون,
409,تویوتا, کرولا, اتوماتیک GLI - 1800cc
410,تویوتا, کرولا, اتوماتیک XLI - 1800cc
411,تویوتا, کرولا, دنده‌ای GLI - 1800cc
412,تویوتا, کرولا, دنده‌ای XLI - 1800cc
413,تویوتا, کرولا, GLI 2000cc
414,تویوتا, کرولا, SE 1600cc
415,تویوتا, کرولا, XLI 2000cc
416,تویوتا, کرونا,
417,تویوتا, کریسیدا,
418,تویوتا, کمری, اتاق آریون
419,تویوتا, کمری, دنده‌ای
420,تویوتا, کمری, گرند 4 سیلندر
421,تویوتا, کمری, گرند 6 سیلندر
422,تویوتا, کمری, GL
423,تویوتا, کمری, GLX
424,تویوتا, کمری, LE
425,تویوتا, کمری, LE هیبرید
426,تویوتا, کمری, SE
427,تویوتا, کمری, XLE هیبرید
428,تویوتا, لندکروزر ۲ در, 2F
429,تویوتا, لندکروزر ۲ در, 3F
430,تویوتا, لندکروزر ۴ در, 4000cc
431,تویوتا, لندکروزر ۴ در, 4500cc
432,تویوتا, لندکروزر ۴ در, 4700cc
433,تویوتا, لندکروزر ۴ در, 5700cc
434,تویوتا, هایلوکس تک کابین,
435,تویوتا, هایلوکس دو کابین, اتوماتیک
436,تویوتا, هایلوکس دو کابین, دنده‌ای
437,تویوتا, هایلوکس دو کابین بلند, اتوماتیک
438,تویوتا, هایلوکس دو کابین بلند, دنده‌ای
439,تویوتا, یاریس صندوق دار, 1300cc
440,تویوتا, یاریس صندوق دار, 1500cc
441,تویوتا, یاریس هاچبک, 1300cc
442,تویوتا, یاریس هاچبک, 1500cc
443,تویوتا, C-HR, بنزینی تک دیفرانسیل
444,تویوتا, C-HR, بنزینی دو دیفرانسیل
445,تویوتا, C-HR, هیبرید
446,تویوتا, GT 86, اتوماتیک
447,تویوتا, GT 86, دنده‌ای
448,تویوتا,وانت لندکروزر, تک کابین 2F
449,تویوتا,وانت لندکروزر, تک کابین 3F
450,تویوتا,وانت لندکروزر, تک کابین 4.5F
451,تویوتا,وانت لندکروزر, دو کابین 3F
452,تویوتا,وانت لندکروزر, دو کابین 4.5F
453,تویوتا,ون , پرویا
454,تویوتا,ون , هایس
455,تیبا, صندوق‌دار, پلاس
456,تیبا, صندوق‌دار, EX
457,تیبا, صندوق‌دار, EX دوگانه سوز
458,تیبا, صندوق‌دار, LX
459,تیبا, صندوق‌دار, LX دوگانه سوز
460,تیبا, صندوق‌دار, SX
461,تیبا, صندوق‌دار, SX دوگانه سوز
462,تیبا, هاچبک, پلاس
463,تیبا, هاچبک, EX
464,تیبا, هاچبک, SX
465,جک, J3 سدان,
466,جک, J3 هاچبک,
467,جک, J5, اتوماتیک 1800cc
468,جک, J5, دنده‌ای 1500cc
469,جک, S3, اتوماتیک
470,جک, S5, اتوماتیک
471,جک, S5, دنده‌ای
472,جک, S5 نیوفیس,
473,جک,ون , ریفاین
474,جک,ون , سانری
475,جگوار, XJ,
476,جوی لانگ,ون ,
477,جی‌ام‌سی, S350,
478,جی‌ای‌سی گونو, G5,
479,جی‌ای‌سی گونو, GA3S,
480,جی‌ای‌سی گونو, GS5,
481,جی‌ای‌سی گونو,وانت , تروی
482,جیپ, آهو,
483,جیپ, چروکی,
484,جیپ, رنگلر,
485,جیپ, رنه گید,
486,جیپ, شهباز,
487,جیپ, صحرا,
488,جیپ, میوت,
489,جیپ, واگونیر,
490,جیپ,وانت , سیمرغ
491,جیلی, Emgrand 7, اتوماتیک
492,جیلی, Emgrand 7, دنده‌ای
493,جیلی, Emgrand 7_RV, اتوماتیک
494,جیلی, Emgrand 7_RV, دنده‌ای
495,جیلی, Emgrand X7,
496,جیلی, GC6, اکسلنت
497,جیلی, GC6, الیت
498,چانگان, CS35,
499,چانگان, CS35 مونتاژ,
500,چانگان, EADO,
501,چری, آریزو 5, اتوماتیک اکسلنت
502,چری, آریزو 5, اتوماتیک لاکچری
503,چری, آریزو 5, دنده‌ای لاکچری
504,چری, آریزو 5IE جدید, توربو
505,چری, آریزو 5TE, اکسلنت توربو
506,چری, آریزو 6, اکسلنت
507,چری, تیگو 5, اکسلنت
508,چری, تیگو 5, لاکچری
509,چری, تیگو 5, لاکچری اسپرت
510,چری, تیگو 5, IE
511,چری, تیگو 5, IL
512,چری, تیگو 5, TE توربو
513,چری, تیگو 7, اکسلنت
514,چری, تیگو 7, IE
515,چری, ویانا A15,
516,داتسون,سواری ,
517,داتسون,وانت ,
518,دامای, X7,
519,دانگ فنگ, H30 کراس,
520,دانگ فنگ, S30,
521,دایون, Y5,
522,دلیکا,ون , تاکسی
523,دلیکا,ون , شخصی
524,دنا, پلاس, اتوماتیک
525,دنا, پلاس, تیپ ۱ توربو
526,دنا, پلاس, تیپ ۱ دنده‌ای
527,دنا, پلاس, تیپ ۲ توربو
528,دنا, پلاس, تیپ ۲ دنده‌ای
529,دنا, معمولی, تیپ ۱
530,دنا, معمولی, تیپ ۲
531,دوج, کرنت,
532,دوج,ون ,
533,دوو, اسپرو, اتوماتیک
534,دوو, اسپرو, دنده‌ای
535,دوو, ریسر, هاچبک
536,دوو, ریسر, GTE
537,دوو, ریسر, GTI
538,دوو, سی یلو, سدان
539,دوو, سی یلو, هاچبک
540,دوو, ماتیز,
541,دی‌اس, 5LS,
542,دی‌اس, کراس بک 4,
543,دی‌اس, کراس بک 7, اپرا
544,دی‌اس, کراس بک 7, ریولی
545,دییر,وانت ,
546,رانا, پلاس,
547,رانا, پلاس پانوراما,
548,رانا, EL,
549,رانا, LX,
550,راین, V5, اتوماتیک
551,راین, V5, دنده‌ای
552,رنو, 21,
553,رنو, 5,
554,رنو, 5 مونتاژ,
555,رنو, اسکالا, 1600cc
556,رنو, اسکالا, کروک
557,رنو, اسکالا, E2
558,رنو, اسکالا, E4
559,رنو, پارس تندر, دنده‌ای
560,رنو, پی کی,
561,رنو, تلیسمان, E2
562,رنو, تلیسمان, E3
563,رنو, تندر 90, اتوماتیک
564,رنو, تندر 90, استیشن (لوگان)
565,رنو, تندر 90, E0 بنزینی
566,رنو, تندر 90, E0 دوگانه سوز
567,رنو, تندر 90, E1 بنزینی
568,رنو, تندر 90, E1 دوگانه سوز
569,رنو, تندر 90, E2 بنزینی
570,رنو, تندر 90, E2 دوگانه سوز
571,رنو, تندر 90 پلاس, اتوماتیک
572,رنو, تندر 90 پلاس, دنده‌ای
573,رنو, داستر, PE تک دیفرانسیل
574,رنو, داستر, PE دو دیفرانسیل
575,رنو, داستر, SE تک دیفرانسیل
576,رنو, داستر, SE دو دیفرانسیل
577,رنو, ساندرو, اتوماتیک
578,رنو, ساندرو, دنده‌ای
579,رنو, ساندرو استپ‌وی, اتوماتیک
580,رنو, ساندرو استپ‌وی, دنده‌ای
581,رنو, سپند,
582,رنو, سفران, LE 2500cc
583,رنو, سفران, PE 2000cc
584,رنو, سفران, PE 2500cc
585,رنو, سفران, SE 2000cc
586,رنو, سیمبل, LE
587,رنو, سیمبل, PE
588,رنو, سیمبل, SE
589,رنو, فلوئنس, دنده‌ای
590,رنو, فلوئنس, E2
591,رنو, فلوئنس, E4
592,رنو, کپچر,
593,رنو, کوليوس, نسل اول
594,رنو, کوليوس, نسل دوم
595,رنو, لاگونا, کوپه
596,رنو, لتیتود,
597,رنو, مگان, 1600cc
598,رنو, مگان, 2000cc
599,رنو, مگان, کروک
600,رنو, مگان, هاچبک
601,رنو, مگان مونتاژ, 2000cc
602,رنو, مگان مونتاژ, E1 1600cc
603,رنو, مگان مونتاژ, E2 1600cc
604,رنو,وانت , تندر 90
605,رنو,ون , ترافیک
606,ریچ,پیکاپ  دوکابین,
607,ریگان, کوپا, اکسکلوسیو
608,ریگان, کوپا, رویال
609,ریگان, کوپا, فلگ شیپ
610,زامیاد, پادرا,
611,زامیاد, پادرا پلاس,
612,زامیاد, درکا,
613,زامیاد, شوکا,
614,زامیاد, Z 24, بنزینی
615,زامیاد, Z 24, بنزینی آپشنال
616,زامیاد, Z 24, دوگانه سوز
617,زامیاد, Z 24, دوگانه سوز آپشنال
618,زامیاد, Z 24, دیزلی
619,زوتی, Z300 وارداتی,
620,سانگ یانگ, اکتیون,
621,سانگ یانگ, تیوولی, ارمور
622,سانگ یانگ, تیوولی, اسپرت
623,سانگ یانگ, تیوولی, الیت
624,سانگ یانگ, تیوولی مونتاژ, اسپشیال توربو
625,سانگ یانگ, تیوولی مونتاژ, سولار
626,سانگ یانگ, تیوولی مونتاژ, فایتر توربو
627,سانگ یانگ, تیوولی مونتاژ, فیس ۲۰۱۸
628,سانگ یانگ, چیرمن,
629,سانگ یانگ, رکستون, ساده
630,سانگ یانگ, رکستون, G4
631,سانگ یانگ, رکستون مونتاژ, امپرور
632,سانگ یانگ, رکستون مونتاژ, G4
633,سانگ یانگ, رودیوس,
634,سانگ یانگ, کایرون,
635,سانگ یانگ, کوراندو, 2300cc
636,سانگ یانگ, کوراندو, 3200cc
637,سانگ یانگ, موسو, 2300cc دنده ای
638,سانگ یانگ, موسو, 3200cc اتوماتیک
639,سانگ یانگ, موسو, 3200cc دنده ای
640,سانگ یانگ, نیو اکتیون, پرستیژ
641,سانگ یانگ, نیو اکتیون, کامفورت
642,سانگ یانگ, نیو اکتیون, لاکچری
643,سانگ یانگ, نیو کوراندو, اپتیموم
644,سانگ یانگ, نیو کوراندو, پرمیوم
645,سانگ یانگ, نیو کوراندو, پرمیوم پلاس
646,ساینا, اتوماتیک,
647,ساینا, دنده‌ای, پلاس
648,ساینا, دنده‌ای, EX
649,ساینا, دنده‌ای, G
650,ساینا, دنده‌ای, S
651,ساینا, دنده‌ای, SX
652,سئات, لئون,
653,سمند, سریر,
654,سمند, سورن, معمولی
655,سمند, سورن, ELX
656,سمند, سورن, ELX توربو شارژ
657,سمند, سورن پلاس,
658,سمند, EL, بنزینی
659,سمند, EL, دوگانه سوز
660,سمند, LX, ساده
661,سمند, LX, EF7 بنزینی
662,سمند, LX, EF7 گازسوز
663,سمند, SE,
664,سمند, X7, بنزینی
665,سمند, X7, دوگانه سوز
666,سوئیست, DX 3,
667,سوبارو, فارستر,
668,سوبارو, لگاسی,
669,سوبارو, وی ویو,
670,سوبارو, X7,
671,سوبارو,وانت ,
672,سوزوکی, کیزاشی, اتوماتیک
673,سوزوکی, کیزاشی, دنده‌ای
674,سوزوکی, گرند ویتارا, اتوماتیک 2000cc
675,سوزوکی, گرند ویتارا, دنده‌ای 2000cc
676,سوزوکی, گرند ویتارا مونتاژ, اتوماتیک 2000cc
677,سوزوکی, گرند ویتارا مونتاژ, اتوماتیک 2400cc
678,سوزوکی, گرند ویتارا مونتاژ, دنده‌ای 2000cc
679,سوزوکی, گرند ویتارا مونتاژ, دنده‌ای 2400cc
680,سیتروئن, زانتیا, 1800cc
681,سیتروئن, زانتیا, 2000cc
682,سیتروئن, زانتیا 2 (فیس لیفت),
683,سیتروئن, ژیان,
684,سیتروئن, C3 مونتاژ, بدون گرمکن صندلی
685,سیتروئن, C3 مونتاژ, گرمکن صندلی
686,سیتروئن, C5,
687,سیتروئن, C5 جدید,
688,شاهین, G,
689,شورولت, ایمپالا,
690,شورولت, بلر,
691,شورولت, بلیزر,
692,شورولت, رویال مونتاژ,
693,شورولت, سابربن,
694,شورولت, فلیت مستر,
695,شورولت, کاپریس,
696,شورولت, کامارو,
697,شورولت, مونت کارلو,
698,شورولت, نوا,
699,شورولت, نوا مونتاژ,
700,شورولت,وانت ,
701,شورولت,ون , وندورا
702,فردا, 511,
703,فردا, Sx5,
704,فردا, Sx6,
705,فردا, T5,
706,فوتون, ساوانا,
707,فوتون,وانت , تونلند دو دیفرانسیل بنزینی
708,فوتون,وانت , تونلند دو دیفرانسیل دیزلی
709,فوتون,ون ,
710,فورد, تاروس,
711,فورد, موستانگ,
712,فورد, F150,
713,فولکس, بیتل, کروک
714,فولکس, بیتل, کوپه
715,فولکس, پاسات,
716,فولکس, تیگوان,
717,فولکس, کدی,
718,فولکس, گل,
719,فولکس, گلف, ساده
